"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"104","01-05T08:00:00",108,13.7,26.4,26.4,7.7
"105","01-05T09:00:00",126,15.1,30.3,30.3,7.9
"106","01-05T10:00:00",120,15.9,34.3,34.3,8.5
"107","01-05T11:00:00",118,16.2,37.2,37.2,8.4
"108","01-05T12:00:00",131,16.3,39.1,39.1,8.4
"109","01-05T13:00:00",127,16.2,40.1,40.1,8.8
"110","01-05T14:00:00",147,16.4,40.3,40.3,8.7
"111","01-05T15:00:00",150,16.7,39.3,39.3,8.6
"112","01-05T16:00:00",135,17,37.7,37.7,7.8
"113","01-05T17:00:00",151,16.5,33.8,33.8,7.1
"114","01-05T18:00:00",157,15.9,31.4,31.4,7.2
"115","01-05T19:00:00",157,15.7,29.9,29.9,7.3
"116","01-05T20:00:00",169,15.6,29.1,29.1,7.2
"117","01-05T21:00:00",175,15.5,28.4,28.4,7.3
"118","01-05T22:00:00",153,15,27.6,27.6,7.5
"119","01-05T23:00:00",147,14.8,27.2,27.2,7.6
"120","01-06T00:00:00",144,14.5,27.1,27.1,7.4
"121","01-06T01:00:00",157,14.4,26.7,26.7,7.6
"122","01-06T02:00:00",136,14.2,26.6,26.6,7.3
"123","01-06T03:00:00",153,14,26.3,26.3,7.6
"124","01-06T04:00:00",162,13.7,26.1,26.1,7.5
"125","01-06T05:00:00",150,13.7,26,26,7.6
"126","01-06T06:00:00",139,13.4,25.8,25.8,7.5
"127","01-06T07:00:00",113,13.4,25.8,25.8,7.7
"128","01-06T08:00:00",106,13.6,26.4,26.4,7.8
"129","01-06T09:00:00",124,15,30.3,30.3,7.9
"130","01-06T10:00:00",116,15.8,34.3,34.3,8.3
"131","01-06T11:00:00",116,16.1,37.3,37.3,8.3
"132","01-06T12:00:00",128,16.2,39.1,39.1,8.4
"133","01-06T13:00:00",125,16.2,40.3,40.3,8.7
"134","01-06T14:00:00",145,16.4,40.4,40.4,8.7
"135","01-06T15:00:00",145,16.6,39.3,39.3,8.6
"136","01-06T16:00:00",135,16.9,37.8,37.8,7.9
"137","01-06T17:00:00",147,16.4,34,34,7.1
"138","01-06T18:00:00",148,15.9,31.5,31.5,7.1
"139","01-06T19:00:00",157,15.7,29.9,29.9,7.2
"140","01-06T20:00:00",163,15.6,29.1,29.1,7.1
"141","01-06T21:00:00",171,15.4,28.3,28.3,7.3
"142","01-06T22:00:00",149,15,27.5,27.5,7.5
"143","01-06T23:00:00",138,14.8,27.2,27.2,7.5
"144","01-07T00:00:00",136,14.5,26.9,26.9,7.5
"145","01-07T01:00:00",156,14.3,26.6,26.6,7.6
"146","01-07T02:00:00",131,14.1,26.5,26.5,7.3
"147","01-07T03:00:00",149,13.8,26.2,26.2,7.5
"148","01-07T04:00:00",153,13.5,25.9,25.9,7.5
"149","01-07T05:00:00",142,13.5,25.8,25.8,7.5
"150","01-07T06:00:00",135,13.3,25.6,25.6,7.5
"151","01-07T07:00:00",109,13.3,25.6,25.6,7.6
"152","01-07T08:00:00",106,13.5,26.2,26.2,7.7
"153","01-07T09:00:00",124,14.9,30.2,30.2,7.8
"154","01-07T10:00:00",113,15.7,34.3,34.3,8.2
"155","01-07T11:00:00",113,15.9,37.3,37.3,8.3
"156","01-07T12:00:00",124,16,39.3,39.3,8.3
"157","01-07T13:00:00",115,16,40.4,40.4,8.6
"158","01-07T14:00:00",138,16.1,40.7,40.7,8.7
"159","01-07T15:00:00",136,16.3,39.6,39.6,8.7
"160","01-07T16:00:00",131,16.7,38,38,7.9
"161","01-07T17:00:00",138,16.1,34.3,34.3,7
"162","01-07T18:00:00",143,15.6,31.7,31.7,7.1
"163","01-07T19:00:00",153,15.5,30.1,30.1,7.3
"164","01-07T20:00:00",155,15.4,29.3,29.3,7.2
"165","01-07T21:00:00",171,15.3,28.5,28.5,7.5
"166","01-07T22:00:00",146,14.9,27.7,27.7,7.5
"167","01-07T23:00:00",136,14.7,27.3,27.3,7.5
"168","01-08T00:00:00",137,14.5,27.1,27.1,7.5
"169","01-08T01:00:00",147,14.2,26.7,26.7,7.6
"170","01-08T02:00:00",124,14,26.6,26.6,7.3
"171","01-08T03:00:00",144,13.7,26.3,26.3,7.4
"172","01-08T04:00:00",151,13.4,26,26,7.5
"173","01-08T05:00:00",145,13.4,25.9,25.9,7.6
"174","01-08T06:00:00",134,13.1,25.9,25.9,7.5
"175","01-08T07:00:00",106,13.2,25.9,25.9,7.6
"176","01-08T08:00:00",99,13.3,26.5,26.5,7.8
"177","01-08T09:00:00",124,14.8,30.5,30.5,7.8
"178","01-08T10:00:00",109,15.6,34.5,34.5,8.2
"179","01-08T11:00:00",111,15.8,37.5,37.5,8.4
"180","01-08T12:00:00",124,15.8,39.5,39.5,8.4
"181","01-08T13:00:00",116,15.9,40.5,40.5,8.7
"182","01-08T14:00:00",136,16,40.8,40.8,8.7
"183","01-08T15:00:00",134,16.2,39.9,39.9,8.7
"184","01-08T16:00:00",136,16.7,38.3,38.3,7.9
"185","01-08T17:00:00",133,16.1,34.6,34.6,7.1
"186","01-08T18:00:00",139,15.6,32,32,7.1
"187","01-08T19:00:00",149,15.5,30.3,30.3,7.3
"188","01-08T20:00:00",150,15.4,29.4,29.4,7.3
"189","01-08T21:00:00",175,15.2,28.6,28.6,7.4
"190","01-08T22:00:00",146,14.9,27.7,27.7,7.5
"191","01-08T23:00:00",138,14.7,27.3,27.3,7.5
"192","01-09T00:00:00",141,14.4,27,27,7.6
"193","01-09T01:00:00",158,14.1,26.7,26.7,7.6
"194","01-09T02:00:00",130,14,26.7,26.7,7.3
"195","01-09T03:00:00",146,13.7,26.3,26.3,7.5
"196","01-09T04:00:00",153,13.4,26,26,7.6
"197","01-09T05:00:00",151,13.3,25.8,25.8,7.6
"198","01-09T06:00:00",143,13,25.7,25.7,7.6
"199","01-09T07:00:00",115,13.1,25.8,25.8,7.6
"200","01-09T08:00:00",100,13.2,26.3,26.3,7.8
"201","01-09T09:00:00",119,14.7,30.4,30.4,7.9
"202","01-09T10:00:00",111,15.5,34.2,34.2,8.3
"203","01-09T11:00:00",118,15.6,37.2,37.2,8.4
"204","01-09T12:00:00",125,15.6,39.2,39.2,8.3
"205","01-09T13:00:00",118,15.8,40.2,40.2,8.7
"206","01-09T14:00:00",137,15.9,40.6,40.6,8.8
"207","01-09T15:00:00",124,16,39.7,39.7,8.7
"208","01-09T16:00:00",126,16.5,38.2,38.2,7.9
"209","01-09T17:00:00",128,16.1,34.5,34.5,7.1
"210","01-09T18:00:00",129,15.6,31.9,31.9,7.1
"211","01-09T19:00:00",142,15.4,30.2,30.2,7.3
"212","01-09T20:00:00",145,15.3,29.3,29.3,7.3
"213","01-09T21:00:00",172,15.3,28.5,28.5,7.5
"214","01-09T22:00:00",144,14.9,27.6,27.6,7.4
"215","01-09T23:00:00",140,14.7,27.2,27.2,7.4
"216","01-10T00:00:00",148,14.4,26.9,26.9,7.5
"217","01-10T01:00:00",153,14.2,26.6,26.6,7.5
"218","01-10T02:00:00",132,14.1,26.6,26.6,7.2
"219","01-10T03:00:00",150,13.7,26.2,26.2,7.3
"220","01-10T04:00:00",149,13.4,25.9,25.9,7.5
"221","01-10T05:00:00",147,13.4,25.7,25.7,7.5
"222","01-10T06:00:00",143,13,25.7,25.7,7.6
"223","01-10T07:00:00",115,13,25.7,25.7,7.5
"224","01-10T08:00:00",110,13.2,26.2,26.2,7.7
"225","01-10T09:00:00",124,14.7,30.3,30.3,7.9
"226","01-10T10:00:00",115,15.5,34.1,34.1,8.3
"227","01-10T11:00:00",127,15.5,37.1,37.1,8.3
"228","01-10T12:00:00",130,15.5,39,39,8.4
"229","01-10T13:00:00",122,15.6,40.1,40.1,8.7
"230","01-10T14:00:00",137,15.8,40.4,40.4,8.9
"231","01-10T15:00:00",124,16,39.5,39.5,8.9
"232","01-10T16:00:00",124,16.4,38.1,38.1,7.9
"233","01-10T17:00:00",128,16.1,34.4,34.4,7.1
"234","01-10T18:00:00",127,15.5,31.7,31.7,7.2
"235","01-10T19:00:00",135,15.4,30,30,7.2
"236","01-10T20:00:00",134,15.3,29.1,29.1,7.2
"237","01-10T21:00:00",161,15.2,28.2,28.2,7.4
"238","01-10T22:00:00",137,14.9,27.3,27.3,7.2
"239","01-10T23:00:00",140,14.6,27,27,7.3
"240","01-11T00:00:00",152,14.4,26.6,26.6,7.4
"241","01-11T01:00:00",148,14.2,26.4,26.4,7.4
"242","01-11T02:00:00",131,13.9,26.3,26.3,7
"243","01-11T03:00:00",147,13.6,25.9,25.9,7.1
"244","01-11T04:00:00",145,13.2,25.6,25.6,7.3
"245","01-11T05:00:00",138,13.2,25.4,25.4,7.4
"246","01-11T06:00:00",136,12.9,25.3,25.3,7.4
"247","01-11T07:00:00",111,12.9,25.3,25.3,7.4
"248","01-11T08:00:00",107,13.2,26,26,7.6
"249","01-11T09:00:00",113,14.6,30.2,30.2,7.8
"250","01-11T10:00:00",106,15.3,34.2,34.2,8.3
"251","01-11T11:00:00",125,15.4,37.1,37.1,8.3
"252","01-11T12:00:00",127,15.4,39,39,8.3
"253","01-11T13:00:00",115,15.5,40.2,40.2,8.7
"254","01-11T14:00:00",135,15.7,40.6,40.6,8.9
"255","01-11T15:00:00",122,15.9,39.8,39.8,8.9
"256","01-11T16:00:00",119,16.4,38.3,38.3,8
"257","01-11T17:00:00",117,16,34.6,34.6,7.2
"258","01-11T18:00:00",118,15.5,31.9,31.9,7.2
"259","01-11T19:00:00",131,15.4,30.1,30.1,7.2
"260","01-11T20:00:00",129,15.3,29.1,29.1,7.3
"261","01-11T21:00:00",155,15.2,28.3,28.3,7.5
"262","01-11T22:00:00",135,14.9,27.5,27.5,7.3
"263","01-11T23:00:00",140,14.7,27.1,27.1,7.3
"264","01-12T00:00:00",145,14.4,26.8,26.8,7.4
"265","01-12T01:00:00",142,14.2,26.5,26.5,7.4
"266","01-12T02:00:00",126,14,26.5,26.5,7.1
"267","01-12T03:00:00",139,13.6,26,26,7.1
"268","01-12T04:00:00",136,13.3,25.7,25.7,7.3
"269","01-12T05:00:00",132,13.2,25.5,25.5,7.4
"270","01-12T06:00:00",137,13,25.4,25.4,7.5
"271","01-12T07:00:00",109,12.9,25.5,25.5,7.4
"272","01-12T08:00:00",105,13.2,26.2,26.2,7.6
"273","01-12T09:00:00",109,14.6,30.3,30.3,7.7
"274","01-12T10:00:00",106,15.3,34.3,34.3,8.3
"275","01-12T11:00:00",123,15.3,37.3,37.3,8.3
"276","01-12T12:00:00",124,15.3,39.2,39.2,8.3
"277","01-12T13:00:00",110,15.4,40.3,40.3,8.7
"278","01-12T14:00:00",129,15.6,40.8,40.7,8.9
"279","01-12T15:00:00",125,15.8,39.9,39.9,9
"280","01-12T16:00:00",122,16.2,38.4,38.4,8
"281","01-12T17:00:00",117,15.8,34.9,34.9,7.2
"282","01-12T18:00:00",120,15.3,32.1,32.1,7.3
"283","01-12T19:00:00",133,15.3,30.3,30.3,7.2
"284","01-12T20:00:00",132,15.2,29.2,29.2,7.3
"285","01-12T21:00:00",160,15.1,28.4,28.4,7.5
"286","01-12T22:00:00",138,14.9,27.5,27.5,7.4
"287","01-12T23:00:00",141,14.6,27.1,27.1,7.3
"288","01-13T00:00:00",152,14.3,26.8,26.8,7.3
"289","01-13T01:00:00",148,14.1,26.5,26.5,7.3
"290","01-13T02:00:00",125,13.9,26.4,26.4,6.9
"291","01-13T03:00:00",139,13.5,26,26,7
"292","01-13T04:00:00",139,13.2,25.6,25.6,7.2
"293","01-13T05:00:00",129,13.1,25.4,25.4,7.2
"294","01-13T06:00:00",130,12.8,25.3,25.3,7.3
"295","01-13T07:00:00",102,12.7,25.3,25.3,7.3
"296","01-13T08:00:00",101,13,26,26,7.6
"297","01-13T09:00:00",104,14.5,30.2,30.2,7.6
"298","01-13T10:00:00",104,15.1,34.2,34.2,8.2
"299","01-13T11:00:00",118,15.3,37.3,37.3,8.2
"300","01-13T12:00:00",120,15.2,39.3,39.3,8.1
"301","01-13T13:00:00",113,15.2,40.5,40.5,8.6
"302","01-13T14:00:00",129,15.4,40.9,40.9,8.8
"303","01-13T15:00:00",122,15.6,40.1,40.1,8.9
"304","01-13T16:00:00",124,16.1,38.5,38.5,8
"305","01-13T17:00:00",111,15.6,34.9,34.9,7.1
"306","01-13T18:00:00",111,15.2,32.2,32.2,7.2
"307","01-13T19:00:00",129,15.1,30.2,30.2,7.1
"308","01-13T20:00:00",125,15.1,29.1,29.1,7.2
"309","01-13T21:00:00",151,14.9,28.4,28.4,7.5
"310","01-13T22:00:00",128,14.6,27.5,27.5,7.3
"311","01-13T23:00:00",131,14.4,27.1,27.1,7.3
"312","01-14T00:00:00",150,14.1,26.8,26.8,7.3
"313","01-14T01:00:00",142,13.9,26.5,26.5,7.2
"314","01-14T02:00:00",122,13.7,26.5,26.5,7
"315","01-14T03:00:00",136,13.3,26.1,26.1,7
"316","01-14T04:00:00",132,13,25.7,25.7,7.2
"317","01-14T05:00:00",123,12.9,25.5,25.5,7.3
"318","01-14T06:00:00",125,12.6,25.3,25.3,7.3
"319","01-14T07:00:00",100,12.5,25.4,25.4,7.4
"320","01-14T08:00:00",98,12.9,26.2,26.2,7.6
"321","01-14T09:00:00",103,14.2,30.3,30.3,7.7
"322","01-14T10:00:00",106,14.9,34.4,34.4,8.3
"323","01-14T11:00:00",118,15.1,37.5,37.5,8.2
"324","01-14T12:00:00",122,15.1,39.5,39.5,8.1
"325","01-14T13:00:00",113,15.1,40.7,40.7,8.6
"326","01-14T14:00:00",127,15.3,41.1,41.1,8.8
"327","01-14T15:00:00",122,15.5,40.4,40.4,8.9
