"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"102","01-05T06:00:00",583,16.6,24.3,24.3,7.5
"103","01-05T07:00:00",NA,16.4,24.2,24.2,7.4
"104","01-05T08:00:00",584,16.6,24.2,24.1,7.3
"105","01-05T09:00:00",575,16.5,24.2,24.2,7.1
"106","01-05T10:00:00",NA,16.4,24.2,24.2,7.3
"107","01-05T11:00:00",NA,16.5,24.5,24.5,7.2
"108","01-05T12:00:00",NA,16.7,25,24.9,7.2
"109","01-05T13:00:00",NA,16.9,25.3,25.2,7.5
"110","01-05T14:00:00",NA,17,25.3,25.3,7.5
"111","01-05T15:00:00",592,17.1,25.2,25.2,7.6
"112","01-05T16:00:00",NA,16.9,25,24.9,7.8
"113","01-05T17:00:00",NA,16.8,24.8,24.8,7.5
"114","01-05T18:00:00",NA,16.8,24.8,24.7,7.5
"115","01-05T19:00:00",NA,16.5,24.6,24.6,7.7
"116","01-05T20:00:00",NA,16.7,24.5,24.5,7.6
"117","01-05T21:00:00",573,16.8,24.5,24.5,7.6
"118","01-05T22:00:00",NA,16.6,24.3,24.3,7.6
"119","01-05T23:00:00",NA,16.7,24.4,24.3,7.7
"120","01-06T00:00:00",585,16.7,24.4,24.4,7.6
"121","01-06T01:00:00",564,16.7,24.4,24.3,7.7
"122","01-06T02:00:00",594,16.7,24.4,24.3,7.9
"123","01-06T03:00:00",581,16.7,24.4,24.4,7.7
"124","01-06T04:00:00",559,16.6,24.4,24.4,7.3
"125","01-06T05:00:00",573,16.6,24.3,24.3,7.4
"126","01-06T06:00:00",575,16.5,24.3,24.3,7.6
"127","01-06T07:00:00",577,16.3,24.2,24.2,7.6
"128","01-06T08:00:00",574,16.4,24.1,24.1,7.4
"129","01-06T09:00:00",582,16.3,24.1,24.1,7.1
"130","01-06T10:00:00",NA,16.2,24.2,24.2,7.3
"131","01-06T11:00:00",NA,16.3,24.4,24.4,7.4
"132","01-06T12:00:00",NA,16.6,24.9,24.9,7.3
"133","01-06T13:00:00",NA,16.8,25.2,25.2,7.6
"134","01-06T14:00:00",NA,16.9,25.3,25.2,7.6
"135","01-06T15:00:00",610,16.9,25.1,25.1,7.7
"136","01-06T16:00:00",609,16.9,24.9,24.9,7.9
"137","01-06T17:00:00",577,16.7,24.7,24.7,7.6
"138","01-06T18:00:00",590,16.7,24.7,24.6,7.6
"139","01-06T19:00:00",594,16.5,24.5,24.4,7.8
"140","01-06T20:00:00",NA,16.6,24.4,24.4,7.7
"141","01-06T21:00:00",583,16.7,24.4,24.4,7.8
"142","01-06T22:00:00",594,16.6,24.3,24.2,7.7
"143","01-06T23:00:00",573,16.6,24.2,24.2,7.9
"144","01-07T00:00:00",592,16.7,24.3,24.3,7.6
"145","01-07T01:00:00",577,16.6,24.3,24.2,7.8
"146","01-07T02:00:00",598,16.7,24.3,24.2,8
"147","01-07T03:00:00",590,16.7,24.3,24.3,7.8
"148","01-07T04:00:00",567,16.6,24.3,24.3,7.4
"149","01-07T05:00:00",581,16.6,24.3,24.3,7.4
"150","01-07T06:00:00",570,16.5,24.3,24.3,7.6
"151","01-07T07:00:00",570,16.2,24.2,24.2,7.7
"152","01-07T08:00:00",572,16.4,24.1,24.1,7.4
"153","01-07T09:00:00",580,16.3,24.2,24.2,7.1
"154","01-07T10:00:00",586,16.3,24.2,24.1,7.4
"155","01-07T11:00:00",594,16.3,24.5,24.4,7.4
"156","01-07T12:00:00",NA,16.6,24.9,24.9,7.3
"157","01-07T13:00:00",NA,16.8,25.2,25.2,7.6
"158","01-07T14:00:00",NA,17,25.2,25.2,7.6
"159","01-07T15:00:00",608,17,25.1,25.1,7.8
"160","01-07T16:00:00",611,16.9,24.9,24.8,8
"161","01-07T17:00:00",590,16.8,24.7,24.7,7.6
"162","01-07T18:00:00",598,16.7,24.6,24.6,7.6
"163","01-07T19:00:00",NA,16.5,24.4,24.4,7.8
"164","01-07T20:00:00",NA,16.6,24.4,24.3,7.8
"165","01-07T21:00:00",584,16.8,24.4,24.3,7.8
"166","01-07T22:00:00",NA,16.7,24.2,24.1,7.7
"167","01-07T23:00:00",NA,16.6,24.2,24.1,7.8
"168","01-08T00:00:00",596,16.7,24.2,24.2,7.5
"169","01-08T01:00:00",575,16.7,24.2,24.1,7.7
"170","01-08T02:00:00",598,16.7,24.2,24.2,7.9
"171","01-08T03:00:00",594,16.8,24.3,24.2,7.6
"172","01-08T04:00:00",569,16.7,24.3,24.2,7.3
"173","01-08T05:00:00",581,16.7,24.2,24.2,7.2
"174","01-08T06:00:00",570,16.6,24.2,24.2,7.5
"175","01-08T07:00:00",564,16.3,24.1,24.1,7.6
"176","01-08T08:00:00",567,16.4,24.1,24,7.3
"177","01-08T09:00:00",592,16.4,24.1,24.1,7.1
"178","01-08T10:00:00",595,16.3,24.1,24.1,7.4
"179","01-08T11:00:00",599,16.4,24.4,24.4,7.4
"180","01-08T12:00:00",603,16.7,24.9,24.9,7.4
"181","01-08T13:00:00",NA,16.9,25.2,25.2,7.6
"182","01-08T14:00:00",NA,17.1,25.3,25.2,7.7
"183","01-08T15:00:00",624,17.1,25.1,25.1,7.7
"184","01-08T16:00:00",626,17,24.9,24.9,7.9
"185","01-08T17:00:00",602,16.9,24.8,24.8,7.6
"186","01-08T18:00:00",611,16.8,24.7,24.7,7.7
"187","01-08T19:00:00",603,16.6,24.5,24.5,7.8
"188","01-08T20:00:00",NA,16.7,24.4,24.4,7.7
"189","01-08T21:00:00",591,16.8,24.4,24.4,7.9
"190","01-08T22:00:00",591,16.7,24.2,24.2,7.7
"191","01-08T23:00:00",NA,16.7,24.2,24.2,7.7
"192","01-09T00:00:00",599,16.8,24.2,24.2,7.4
"193","01-09T01:00:00",595,16.8,24.2,24.2,7.7
"194","01-09T02:00:00",603,16.8,24.2,24.2,7.9
"195","01-09T03:00:00",599,16.8,24.3,24.2,7.5
"196","01-09T04:00:00",573,16.8,24.3,24.2,7.3
"197","01-09T05:00:00",589,16.8,24.2,24.2,7.2
"198","01-09T06:00:00",577,16.6,24.2,24.2,7.5
"199","01-09T07:00:00",563,16.4,24.2,24.1,7.6
"200","01-09T08:00:00",564,16.5,24.1,24.1,7.3
"201","01-09T09:00:00",594,16.4,24.2,24.2,7.1
"202","01-09T10:00:00",594,16.4,24.2,24.2,7.5
"203","01-09T11:00:00",598,16.5,24.5,24.5,7.4
"204","01-09T12:00:00",NA,16.7,25,25,7.4
"205","01-09T13:00:00",NA,17,25.3,25.3,7.7
"206","01-09T14:00:00",NA,17.1,25.3,25.3,7.7
"207","01-09T15:00:00",613,17.2,25.2,25.2,7.7
"208","01-09T16:00:00",611,17.1,25,25,8
"209","01-09T17:00:00",595,16.9,24.8,24.8,7.7
"210","01-09T18:00:00",602,16.9,24.8,24.7,7.8
"211","01-09T19:00:00",597,16.7,24.6,24.5,7.9
"212","01-09T20:00:00",NA,16.7,24.5,24.5,7.9
"213","01-09T21:00:00",591,16.9,24.5,24.5,8
"214","01-09T22:00:00",591,16.8,24.3,24.3,7.7
"215","01-09T23:00:00",NA,16.7,24.4,24.3,7.8
"216","01-10T00:00:00",596,16.8,24.3,24.3,7.5
"217","01-10T01:00:00",598,16.9,24.3,24.3,7.7
"218","01-10T02:00:00",603,16.9,24.3,24.3,7.9
"219","01-10T03:00:00",600,16.9,24.4,24.3,7.5
"220","01-10T04:00:00",584,16.8,24.4,24.3,7.4
"221","01-10T05:00:00",595,16.8,24.3,24.3,7.2
"222","01-10T06:00:00",NA,16.7,24.3,24.3,7.6
"223","01-10T07:00:00",566,16.5,24.3,24.2,7.6
"224","01-10T08:00:00",570,16.6,24.2,24.2,7.4
"225","01-10T09:00:00",593,16.5,24.3,24.2,7.2
"226","01-10T10:00:00",594,16.5,24.2,24.2,7.5
"227","01-10T11:00:00",604,16.5,24.5,24.5,7.4
"228","01-10T12:00:00",NA,16.7,25,25,7.4
"229","01-10T13:00:00",NA,17,25.3,25.3,7.7
"230","01-10T14:00:00",NA,17.2,25.3,25.3,7.8
"231","01-10T15:00:00",616,17.2,25.3,25.2,7.7
"232","01-10T16:00:00",617,17.1,25,25,8
"233","01-10T17:00:00",603,16.9,24.9,24.8,7.7
"234","01-10T18:00:00",601,16.9,24.8,24.8,7.8
"235","01-10T19:00:00",600,16.8,24.6,24.5,7.9
"236","01-10T20:00:00",NA,16.8,24.5,24.4,8
"237","01-10T21:00:00",596,17,24.5,24.5,8
"238","01-10T22:00:00",594,16.9,24.3,24.3,7.7
"239","01-10T23:00:00",NA,16.9,24.4,24.3,7.9
"240","01-11T00:00:00",594,16.9,24.3,24.2,7.5
"241","01-11T01:00:00",612,17,24.3,24.2,7.7
"242","01-11T02:00:00",618,17,24.3,24.2,7.8
"243","01-11T03:00:00",612,17,24.4,24.3,7.5
"244","01-11T04:00:00",601,16.9,24.3,24.3,7.4
"245","01-11T05:00:00",609,16.9,24.3,24.2,7.2
"246","01-11T06:00:00",NA,16.9,24.3,24.3,7.4
"247","01-11T07:00:00",574,16.6,24.3,24.2,7.6
"248","01-11T08:00:00",570,16.8,24.2,24.2,7.3
"249","01-11T09:00:00",602,16.6,24.3,24.2,7.1
"250","01-11T10:00:00",595,16.7,24.3,24.2,7.4
"251","01-11T11:00:00",613,16.6,24.5,24.5,7.3
"252","01-11T12:00:00",NA,16.9,25,25,7.3
"253","01-11T13:00:00",NA,17.2,25.3,25.3,7.6
"254","01-11T14:00:00",NA,17.3,25.3,25.3,7.8
"255","01-11T15:00:00",612,17.3,25.2,25.2,7.8
"256","01-11T16:00:00",615,17.3,25,25,8
"257","01-11T17:00:00",602,17,24.8,24.8,7.7
"258","01-11T18:00:00",602,17,24.8,24.7,7.7
"259","01-11T19:00:00",593,17,24.6,24.5,7.9
"260","01-11T20:00:00",577,17,24.6,24.5,8
"261","01-11T21:00:00",596,17.1,24.6,24.5,8
"262","01-11T22:00:00",NA,17,24.4,24.4,7.8
"263","01-11T23:00:00",583,16.9,24.5,24.4,7.8
"264","01-12T00:00:00",587,17,24.4,24.4,7.6
"265","01-12T01:00:00",602,17.2,24.4,24.3,7.7
"266","01-12T02:00:00",606,17.1,24.3,24.3,7.8
"267","01-12T03:00:00",607,17.1,24.4,24.3,7.6
"268","01-12T04:00:00",601,17,24.3,24.3,7.4
"269","01-12T05:00:00",605,17,24.3,24.2,7.3
"270","01-12T06:00:00",NA,16.9,24.3,24.3,7.4
"271","01-12T07:00:00",NA,16.6,24.3,24.2,7.6
"272","01-12T08:00:00",571,16.8,24.2,24.2,7.3
"273","01-12T09:00:00",613,16.7,24.3,24.2,7.2
"274","01-12T10:00:00",605,16.8,24.3,24.2,7.5
"275","01-12T11:00:00",622,16.7,24.5,24.5,7.4
"276","01-12T12:00:00",611,17,25,25,7.3
"277","01-12T13:00:00",NA,17.2,25.3,25.3,7.6
"278","01-12T14:00:00",NA,17.5,25.4,25.4,7.7
"279","01-12T15:00:00",618,17.4,25.3,25.3,7.7
"280","01-12T16:00:00",612,17.4,25.1,25.1,7.9
"281","01-12T17:00:00",608,17.2,24.9,24.9,7.7
"282","01-12T18:00:00",608,17.1,24.8,24.7,7.6
"283","01-12T19:00:00",589,17.2,24.7,24.6,7.8
"284","01-12T20:00:00",578,17.2,24.6,24.6,7.9
"285","01-12T21:00:00",594,17.2,24.7,24.6,8
"286","01-12T22:00:00",NA,17.2,24.5,24.5,7.7
"287","01-12T23:00:00",NA,17.1,24.5,24.4,7.6
"288","01-13T00:00:00",594,17.2,24.5,24.4,7.5
"289","01-13T01:00:00",609,17.4,24.4,24.4,7.6
"290","01-13T02:00:00",611,17.3,24.4,24.3,7.7
"291","01-13T03:00:00",609,17.3,24.5,24.4,7.5
"292","01-13T04:00:00",607,17.1,24.4,24.4,7.3
"293","01-13T05:00:00",606,17.1,24.3,24.3,7.3
"294","01-13T06:00:00",NA,17.1,24.4,24.3,7.3
"295","01-13T07:00:00",NA,16.8,24.3,24.3,7.6
"296","01-13T08:00:00",580,17,24.3,24.2,7.3
"297","01-13T09:00:00",618,16.9,24.4,24.3,7.3
"298","01-13T10:00:00",611,17,24.4,24.3,7.5
"299","01-13T11:00:00",631,17,24.6,24.6,7.4
"300","01-13T12:00:00",614,17.2,25.1,25.1,7.4
"301","01-13T13:00:00",620,17.4,25.5,25.4,7.6
"302","01-13T14:00:00",NA,17.7,25.5,25.5,7.7
"303","01-13T15:00:00",628,17.6,25.4,25.4,7.7
"304","01-13T16:00:00",618,17.5,25.2,25.2,7.9
"305","01-13T17:00:00",615,17.4,25,25,7.7
"306","01-13T18:00:00",606,17.3,24.9,24.9,7.6
"307","01-13T19:00:00",591,17.3,24.7,24.7,7.8
"308","01-13T20:00:00",580,17.2,24.7,24.6,7.9
"309","01-13T21:00:00",598,17.3,24.7,24.7,7.9
"310","01-13T22:00:00",594,17.2,24.6,24.6,7.7
"311","01-13T23:00:00",NA,17.2,24.5,24.5,7.6
"312","01-14T00:00:00",592,17.2,24.5,24.5,7.5
"313","01-14T01:00:00",599,17.5,24.5,24.5,7.4
"314","01-14T02:00:00",602,17.3,24.4,24.4,7.5
"315","01-14T03:00:00",605,17.3,24.6,24.5,7.4
"316","01-14T04:00:00",607,17.2,24.5,24.4,7.2
"317","01-14T05:00:00",606,17.1,24.4,24.3,7.2
"318","01-14T06:00:00",603,17.2,24.4,24.4,7.2
"319","01-14T07:00:00",NA,16.9,24.4,24.3,7.4
"320","01-14T08:00:00",571,17.1,24.4,24.3,7.2
"321","01-14T09:00:00",617,17,24.4,24.4,7.3
"322","01-14T10:00:00",614,17,24.4,24.4,7.5
"323","01-14T11:00:00",631,17,24.7,24.6,7.4
"324","01-14T12:00:00",617,17.2,25.2,25.1,7.4
"325","01-14T13:00:00",NA,17.4,25.5,25.5,7.6
"326","01-14T14:00:00",NA,17.7,25.6,25.6,7.7
"327","01-14T15:00:00",641,17.6,25.5,25.5,7.6
"328","01-14T16:00:00",619,17.5,25.3,25.2,7.8
"329","01-14T17:00:00",NA,17.4,25,25,7.7
"330","01-14T18:00:00",611,17.3,24.9,24.9,7.7
"331","01-14T19:00:00",NA,17.3,24.8,24.7,7.7
"332","01-14T20:00:00",578,17.3,24.7,24.6,7.8
"333","01-14T21:00:00",598,17.3,24.7,24.6,7.9
"334","01-14T22:00:00",594,17.2,24.6,24.6,7.7
"335","01-14T23:00:00",NA,17.2,24.5,24.4,7.4
"336","01-15T00:00:00",589,17.2,24.5,24.4,7.4
"337","01-15T01:00:00",595,17.4,24.4,24.3,7.3
"338","01-15T02:00:00",595,17.3,24.4,24.3,7.5
"339","01-15T03:00:00",596,17.2,24.5,24.4,7.3
"340","01-15T04:00:00",602,17.1,24.4,24.3,7
"341","01-15T05:00:00",NA,17,24.4,24.3,7.2
"342","01-15T06:00:00",NA,17.1,24.3,24.3,7.2
"343","01-15T07:00:00",NA,16.9,24.3,24.2,7.4
"344","01-15T08:00:00",NA,17,24.3,24.2,7.1
"345","01-15T09:00:00",616,17,24.4,24.3,7.2
"346","01-15T10:00:00",621,17,24.4,24.3,7.4
"347","01-15T11:00:00",641,17,24.6,24.6,7.4
"348","01-15T12:00:00",621,17.2,25.1,25.1,7.3
"349","01-15T13:00:00",NA,17.4,25.5,25.4,7.5
"350","01-15T14:00:00",NA,17.7,25.6,25.5,7.6
"351","01-15T15:00:00",640,17.6,25.5,25.4,7.5
"352","01-15T16:00:00",619,17.5,25.2,25.1,7.6
"353","01-15T17:00:00",NA,17.4,25,24.9,7.5
"354","01-15T18:00:00",618,17.4,24.9,24.8,7.6
"355","01-15T19:00:00",NA,17.3,24.8,24.7,7.6
"356","01-15T20:00:00",590,17.3,24.7,24.6,7.5
"357","01-15T21:00:00",604,17.4,24.7,24.6,7.7
"358","01-15T22:00:00",NA,17.3,24.6,24.6,7.6
"359","01-15T23:00:00",NA,17.2,24.5,24.4,7.3
"360","01-16T00:00:00",584,17.2,24.5,24.4,7.3
"361","01-16T01:00:00",587,17.4,24.4,24.3,7.4
