"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"744","02-01T00:00:00",519,16.3,22.6,22.6,10.2
"745","02-01T01:00:00",502,16.1,22.2,22.2,10.1
"746","02-01T02:00:00",518,16,21.9,21.9,10
"747","02-01T03:00:00",505,15.8,21.5,21.5,9.8
"748","02-01T04:00:00",486,15.5,21.2,21.2,10
"749","02-01T05:00:00",499,15.4,21,21,9.9
"750","02-01T06:00:00",518,15.3,20.9,20.9,10
"751","02-01T07:00:00",509,15.1,20.7,20.7,10.2
"752","02-01T08:00:00",523,15.5,21.3,21.3,10.4
"753","02-01T09:00:00",526,16.1,22.8,22.8,11.1
"754","02-01T10:00:00",501,16.7,24.7,24.7,11.5
"755","02-01T11:00:00",483,17.1,26.4,26.4,12.1
"756","02-01T12:00:00",505,17.6,27.6,27.6,12.3
"757","02-01T13:00:00",493,18,28.6,28.6,12.5
"758","02-01T14:00:00",487,18.2,29.1,29.1,12.5
"759","02-01T15:00:00",491,18.4,29,29,12.5
"760","02-01T16:00:00",498,18.3,28.5,28.5,12.2
"761","02-01T17:00:00",494,18.2,27.3,27.3,11.8
"762","02-01T18:00:00",524,18.2,26.2,26.2,11.2
"763","02-01T19:00:00",524,18.1,25.5,25.5,11
"764","02-01T20:00:00",527,18,25,25,10.8
"765","02-01T21:00:00",512,17.6,24.4,24.4,10.8
"766","02-01T22:00:00",513,17.4,23.8,23.8,10.6
"767","02-01T23:00:00",517,17.1,23.4,23.4,10.6
"768","02-02T00:00:00",509,16.6,22.8,22.8,10.2
"769","02-02T01:00:00",497,16.3,22.4,22.4,10.1
"770","02-02T02:00:00",501,16.2,22.1,22.1,10
"771","02-02T03:00:00",497,16,21.7,21.7,9.8
"772","02-02T04:00:00",485,15.8,21.4,21.4,10
"773","02-02T05:00:00",498,15.7,21.2,21.2,9.8
"774","02-02T06:00:00",513,15.6,21.1,21.1,10
"775","02-02T07:00:00",514,15.4,20.9,20.9,10.1
"776","02-02T08:00:00",523,15.8,21.5,21.5,10.3
