"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"2490","04-14T18:00:00",283,56.9,74.1,73.8,11.4
"2491","04-14T19:00:00",267,57.7,70.5,70.5,9.8
"2492","04-14T20:00:00",266,58.2,68.2,68.2,8.6
"2493","04-14T21:00:00",276,58.5,66.9,66.9,7.9
"2494","04-14T22:00:00",318,58.5,65.8,65.8,7.5
"2495","04-14T23:00:00",330,58.5,64.8,64.8,6.8
"2496","04-15T00:00:00",327,58.3,64,64,6.6
"2497","04-15T01:00:00",347,58.1,63.2,63.2,6.3
"2498","04-15T02:00:00",361,57.9,62.5,62.5,6.1
"2499","04-15T03:00:00",395,57.9,62.1,62.1,5.9
"2500","04-15T04:00:00",397,57.7,61.6,61.6,5.9
"2501","04-15T05:00:00",400,57.4,61.3,61.3,5.7
"2502","04-15T06:00:00",454,57.3,61.1,61.1,6
"2503","04-15T07:00:00",427,58.1,62.5,62.5,6.7
"2504","04-15T08:00:00",453,58.8,65.7,65.7,8.6
"2505","04-15T09:00:00",394,58.5,68.8,68.8,10.2
"2506","04-15T10:00:00",366,57.8,71.7,71.6,10.9
"2507","04-15T11:00:00",318,57.4,74.3,73.8,11.2
"2508","04-15T12:00:00",323,57.2,76,75.4,11.5
"2509","04-15T13:00:00",267,57,77.4,76.6,11.7
"2510","04-15T14:00:00",282,57.1,78.1,77.3,12
"2511","04-15T15:00:00",282,56.9,78.3,77.5,12.3
"2512","04-15T16:00:00",281,56.9,77.6,77,12.4
"2513","04-15T17:00:00",272,56.8,76.5,76,12.3
"2514","04-15T18:00:00",279,57.2,74.5,74.1,11.4
"2515","04-15T19:00:00",253,58,70.9,70.8,9.9
"2516","04-15T20:00:00",264,58.5,68.6,68.5,8.6
"2517","04-15T21:00:00",273,58.7,67.2,67.1,7.9
"2518","04-15T22:00:00",313,58.7,66.1,66.1,7.5
"2519","04-15T23:00:00",328,58.8,65.1,65.1,6.9
"2520","04-16T00:00:00",328,58.6,64.2,64.2,6.6
"2521","04-16T01:00:00",345,58.4,63.4,63.4,6.3
"2522","04-16T02:00:00",354,58.2,62.7,62.7,6
"2523","04-16T03:00:00",388,58.2,62.4,62.4,5.8
"2524","04-16T04:00:00",390,58,61.9,61.9,5.8
"2525","04-16T05:00:00",391,57.8,61.6,61.6,5.6
"2526","04-16T06:00:00",445,57.7,61.3,61.3,5.9
"2527","04-16T07:00:00",416,58.6,62.8,62.8,6.7
"2528","04-16T08:00:00",448,59.3,66,66,8.5
"2529","04-16T09:00:00",384,58.9,69.2,69.2,10.2
"2530","04-16T10:00:00",364,58.2,72.1,71.9,10.8
"2531","04-16T11:00:00",319,57.7,74.6,74.1,11.2
"2532","04-16T12:00:00",319,57.6,76.4,75.7,11.6
"2533","04-16T13:00:00",269,57.4,77.7,76.9,11.7
"2534","04-16T14:00:00",280,57.5,78.4,77.5,12.1
"2535","04-16T15:00:00",284,57.4,78.6,77.8,12.3
"2536","04-16T16:00:00",288,57.4,77.9,77.2,12.4
"2537","04-16T17:00:00",285,57.3,76.8,76.2,12.3
"2538","04-16T18:00:00",288,57.7,74.7,74.3,11.5
"2539","04-16T19:00:00",260,58.4,71.1,71.1,9.9
"2540","04-16T20:00:00",266,58.9,68.8,68.8,8.7
"2541","04-16T21:00:00",271,59.1,67.4,67.4,8
"2542","04-16T22:00:00",306,59.1,66.4,66.4,7.5
"2543","04-16T23:00:00",321,59.2,65.4,65.4,6.9
"2544","04-17T00:00:00",321,59,64.5,64.5,6.6
"2545","04-17T01:00:00",340,58.8,63.7,63.7,6.3
"2546","04-17T02:00:00",343,58.7,63.1,63.1,6
"2547","04-17T03:00:00",372,58.6,62.8,62.8,5.8
"2548","04-17T04:00:00",392,58.4,62.2,62.2,5.8
"2549","04-17T05:00:00",395,58.2,61.9,61.9,5.6
"2550","04-17T06:00:00",454,58.1,61.7,61.7,5.9
"2551","04-17T07:00:00",422,58.9,63.2,63.2,6.8
"2552","04-17T08:00:00",447,59.7,66.4,66.4,8.7
"2553","04-17T09:00:00",377,59.3,69.5,69.5,10.2
"2554","04-17T10:00:00",363,58.6,72.4,72.2,10.8
"2555","04-17T11:00:00",324,58.2,74.9,74.4,11.2
"2556","04-17T12:00:00",319,58,76.7,76,11.6
"2557","04-17T13:00:00",271,57.8,78,77.1,11.7
"2558","04-17T14:00:00",280,57.9,78.7,77.8,12.2
"2559","04-17T15:00:00",284,57.7,78.8,78,12.3
"2560","04-17T16:00:00",290,57.6,78.2,77.5,12.4
"2561","04-17T17:00:00",281,57.6,77.1,76.5,12.3
"2562","04-17T18:00:00",292,58,75.1,74.7,11.5
"2563","04-17T19:00:00",261,58.8,71.5,71.4,10
"2564","04-17T20:00:00",270,59.3,69.1,69.1,8.7
"2565","04-17T21:00:00",271,59.5,67.7,67.7,8
"2566","04-17T22:00:00",315,59.5,66.7,66.7,7.4
"2567","04-17T23:00:00",319,59.5,65.7,65.7,6.9
"2568","04-18T00:00:00",324,59.4,64.8,64.8,6.6
"2569","04-18T01:00:00",338,59.2,64,64,6.3
"2570","04-18T02:00:00",336,59,63.4,63.4,6
"2571","04-18T03:00:00",372,58.9,63.1,63.1,5.8
"2572","04-18T04:00:00",399,58.7,62.5,62.5,5.7
"2573","04-18T05:00:00",397,58.5,62.2,62.2,5.6
"2574","04-18T06:00:00",456,58.3,61.9,61.9,5.9
"2575","04-18T07:00:00",427,59.2,63.4,63.4,6.8
"2576","04-18T08:00:00",448,59.9,66.7,66.7,8.6
"2577","04-18T09:00:00",371,59.5,69.8,69.8,10.2
"2578","04-18T10:00:00",360,58.8,72.7,72.5,10.8
"2579","04-18T11:00:00",321,58.4,75.2,74.6,11.1
"2580","04-18T12:00:00",322,58.2,77,76.2,11.5
"2581","04-18T13:00:00",277,58,78.3,77.4,11.7
"2582","04-18T14:00:00",282,58.1,79,78.1,12.1
"2583","04-18T15:00:00",276,58,79.2,78.3,12.2
"2584","04-18T16:00:00",285,57.9,78.5,77.8,12.3
"2585","04-18T17:00:00",269,57.8,77.5,76.8,12.2
"2586","04-18T18:00:00",276,58.2,75.5,75,11.5
"2587","04-18T19:00:00",252,59.1,71.8,71.7,10
"2588","04-18T20:00:00",263,59.5,69.4,69.3,8.7
"2589","04-18T21:00:00",262,59.7,67.9,67.9,7.9
"2590","04-18T22:00:00",313,59.7,66.9,66.9,7.4
"2591","04-18T23:00:00",305,59.7,66,66,6.8
"2592","04-19T00:00:00",323,59.6,65.1,65.1,6.5
"2593","04-19T01:00:00",339,59.4,64.3,64.3,6.3
"2594","04-19T02:00:00",338,59.2,63.6,63.6,5.9
"2595","04-19T03:00:00",376,59.2,63.3,63.3,5.8
"2596","04-19T04:00:00",396,59,62.8,62.8,5.6
"2597","04-19T05:00:00",395,58.8,62.5,62.5,5.6
"2598","04-19T06:00:00",452,58.6,62.2,62.2,5.9
"2599","04-19T07:00:00",422,59.5,63.8,63.8,6.8
"2600","04-19T08:00:00",439,60.2,67,67,8.6
"2601","04-19T09:00:00",376,59.9,70.3,70.2,10.1
"2602","04-19T10:00:00",351,59.2,73.2,72.9,10.7
"2603","04-19T11:00:00",321,58.8,75.6,75,11
"2604","04-19T12:00:00",320,58.5,77.3,76.6,11.5
"2605","04-19T13:00:00",282,58.4,78.6,77.7,11.7
