"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"104","01-05T08:00:00",456,19.1,28.7,28.7,12.5
"105","01-05T09:00:00",442,19.3,29.8,29.8,12.8
"106","01-05T10:00:00",465,19.5,31.1,31.1,13.1
"107","01-05T11:00:00",475,19.7,32.3,32.3,13.5
"108","01-05T12:00:00",465,20,33.6,33.6,13.5
"109","01-05T13:00:00",493,20.2,34.4,34.4,13.6
"110","01-05T14:00:00",440,20.1,35,35,13.6
"111","01-05T15:00:00",471,20.3,35,35,13.6
"112","01-05T16:00:00",448,20.1,34.5,34.5,13.3
"113","01-05T17:00:00",453,20.2,33.6,33.6,12.8
"114","01-05T18:00:00",435,20.2,32.9,32.9,12.8
"115","01-05T19:00:00",441,20.1,32.4,32.4,12.7
"116","01-05T20:00:00",463,19.9,31.7,31.7,12.9
"117","01-05T21:00:00",447,19.8,31.2,31.2,12.7
"118","01-05T22:00:00",450,19.7,30.7,30.7,12.6
"119","01-05T23:00:00",457,19.5,30.2,30.2,12.6
"120","01-06T00:00:00",475,18.6,29.1,29.1,13.1
"121","01-06T01:00:00",477,19.2,29.3,29.3,12.4
"122","01-06T02:00:00",481,19.2,28.9,28.9,12.3
"123","01-06T03:00:00",474,19.1,28.7,28.7,12.4
"124","01-06T04:00:00",467,19,28.4,28.4,12.5
"125","01-06T05:00:00",462,18.9,28.3,28.3,12.5
"126","01-06T06:00:00",482,18.9,28.2,28.2,12.2
"127","01-06T07:00:00",471,18.9,28.1,28.1,12.1
"128","01-06T08:00:00",460,19,28.4,28.4,12.4
"129","01-06T09:00:00",439,19.3,29.5,29.5,12.7
"130","01-06T10:00:00",462,19.5,30.9,30.9,13
"131","01-06T11:00:00",477,19.7,32.1,32.1,13.5
"132","01-06T12:00:00",462,20.1,33.4,33.4,13.5
"133","01-06T13:00:00",494,20.2,34.3,34.3,13.7
"134","01-06T14:00:00",447,20.2,34.9,34.9,13.7
"135","01-06T15:00:00",473,20.3,34.9,34.9,13.7
"136","01-06T16:00:00",452,20.2,34.4,34.4,13.4
"137","01-06T17:00:00",449,20.1,33.5,33.5,12.9
"138","01-06T18:00:00",432,20.1,32.8,32.8,12.8
"139","01-06T19:00:00",437,20,32.2,32.2,12.8
"140","01-06T20:00:00",457,19.7,31.5,31.5,13
"141","01-06T21:00:00",438,19.6,30.9,30.9,12.8
"142","01-06T22:00:00",436,19.4,30.4,30.4,12.7
"143","01-06T23:00:00",458,19.2,29.9,29.9,12.7
"144","01-07T00:00:00",474,17.9,28.5,28.5,13.2
"145","01-07T01:00:00",473,18.9,29,29,12.5
"146","01-07T02:00:00",473,18.9,28.6,28.6,12.5
"147","01-07T03:00:00",472,18.8,28.4,28.4,12.5
"148","01-07T04:00:00",465,18.6,28.1,28.1,12.6
"149","01-07T05:00:00",455,18.5,27.9,27.9,12.6
"150","01-07T06:00:00",472,18.5,27.7,27.7,12.3
"151","01-07T07:00:00",463,18.5,27.6,27.6,12.1
