"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1814","03-17T14:00:00",124,59.4,78.6,77.7,13.2
"1815","03-17T15:00:00",129,59.4,78.3,77.5,13.1
"1816","03-17T16:00:00",129,59.5,77.7,77,13.1
"1817","03-17T17:00:00",129,59.7,76.5,76,12.6
"1818","03-17T18:00:00",114,59.8,74.7,74.4,11.8
"1819","03-17T19:00:00",139,60.1,72.7,72.6,10.6
"1820","03-17T20:00:00",139,60.6,71.8,71.7,9.6
"1821","03-17T21:00:00",145,60.7,71,71,9
"1822","03-17T22:00:00",125,60.8,70.4,70.4,8.6
"1823","03-17T23:00:00",123,60.9,69.7,69.7,8.4
"1824","03-18T00:00:00",137,60.8,69,69,8.3
"1825","03-18T01:00:00",142,60.8,68.5,68.5,7.9
"1826","03-18T02:00:00",151,60.8,67.9,67.9,7.6
"1827","03-18T03:00:00",164,60.8,67.4,67.3,7.6
"1828","03-18T04:00:00",154,60.6,66.9,66.9,7.4
"1829","03-18T05:00:00",156,60.5,66.5,66.5,7.2
"1830","03-18T06:00:00",183,60.3,66.4,66.3,7.1
"1831","03-18T07:00:00",149,60.4,66.5,66.5,7.2
"1832","03-18T08:00:00",129,60.8,69.3,69.2,8.8
"1833","03-18T09:00:00",121,60.5,72.3,72.1,10.8
"1834","03-18T10:00:00",119,60.2,74.9,74.3,11.9
"1835","03-18T11:00:00",119,60,76.8,75.9,12.3
"1836","03-18T12:00:00",132,59.8,77.9,77,12.7
"1837","03-18T13:00:00",149,59.8,78.6,77.7,13.1
"1838","03-18T14:00:00",123,59.7,78.8,77.9,13.3
"1839","03-18T15:00:00",127,59.6,78.5,77.7,13.2
"1840","03-18T16:00:00",125,59.8,77.9,77.1,13.1
"1841","03-18T17:00:00",122,60,76.8,76.1,12.6
"1842","03-18T18:00:00",116,60.2,74.9,74.6,11.8
"1843","03-18T19:00:00",144,60.5,72.9,72.8,10.6
"1844","03-18T20:00:00",141,60.8,72,71.9,9.6
