"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1695","03-12T15:00:00",378,27.3,44.8,44.8,15
"1696","03-12T16:00:00",385,27.2,44.3,44.3,15.3
"1697","03-12T17:00:00",388,27.2,43.3,43.3,15.1
"1698","03-12T18:00:00",380,27.2,41.8,41.8,14.5
"1699","03-12T19:00:00",374,27.3,41,41,13.9
"1700","03-12T20:00:00",385,27.5,40.4,40.4,13.4
"1701","03-12T21:00:00",394,27.6,39.7,39.7,12.9
"1702","03-12T22:00:00",397,27.4,39.1,39.1,12.5
"1703","03-12T23:00:00",400,27.3,38.5,38.5,12.2
"1704","03-13T00:00:00",414,27.4,37.9,37.9,12
"1705","03-13T01:00:00",399,26.9,37.4,37.4,11.6
"1706","03-13T02:00:00",396,26.7,36.8,36.8,11.4
"1707","03-13T03:00:00",418,26.7,36.4,36.4,11.1
"1708","03-13T04:00:00",399,26.6,35.9,35.9,11
"1709","03-13T05:00:00",415,26.4,35.6,35.6,11.2
"1710","03-13T06:00:00",387,26.4,35.4,35.4,11.2
"1711","03-13T07:00:00",381,26.6,35.9,35.9,11.5
"1712","03-13T08:00:00",376,26.9,37.6,37.6,12.5
"1713","03-13T09:00:00",379,26.7,39.5,39.5,13
"1714","03-13T10:00:00",371,26.7,41.2,41.2,13.5
"1715","03-13T11:00:00",358,27,42.7,42.7,13.8
"1716","03-13T12:00:00",375,27,43.8,43.8,14.4
"1717","03-13T13:00:00",365,27.3,44.5,44.5,14.7
"1718","03-13T14:00:00",367,27.3,44.9,44.9,15
"1719","03-13T15:00:00",373,27.4,45,45,15
"1720","03-13T16:00:00",391,27.3,44.4,44.4,15.4
"1721","03-13T17:00:00",393,27.4,43.4,43.4,15.1
"1722","03-13T18:00:00",384,27.4,41.9,41.9,14.6
"1723","03-13T19:00:00",382,27.4,41.1,41.1,14
"1724","03-13T20:00:00",391,27.6,40.5,40.5,13.5
"1725","03-13T21:00:00",407,27.6,39.8,39.8,12.9
"1726","03-13T22:00:00",411,27.4,39.2,39.2,12.6
"1727","03-13T23:00:00",408,27.4,38.6,38.6,12.3
"1728","03-14T00:00:00",424,27.4,38,38,12.1
"1729","03-14T01:00:00",411,27,37.6,37.6,11.6
"1730","03-14T02:00:00",403,26.8,36.9,36.9,11.4
"1731","03-14T03:00:00",425,26.7,36.5,36.5,11.2
"1732","03-14T04:00:00",406,26.6,36,36,11.1
"1733","03-14T05:00:00",413,26.5,35.7,35.7,11.3
"1734","03-14T06:00:00",393,26.5,35.5,35.5,11.3
"1735","03-14T07:00:00",390,26.6,36,36,11.5
"1736","03-14T08:00:00",381,26.9,37.8,37.8,12.5
